Successful to build network!
load pretrained model successful!
STN loaded
Epoch:1 || epochiter: 2080/2835|| Totel iter 2080 || Loss: 0.2121||Batch time: 0.0529 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2100/2835|| Totel iter 2100 || Loss: 0.1077||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2120/2835|| Totel iter 2120 || Loss: 0.0788||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2140/2835|| Totel iter 2140 || Loss: 0.1301||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2160/2835|| Totel iter 2160 || Loss: 0.1606||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2180/2835|| Totel iter 2180 || Loss: 0.1489||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2200/2835|| Totel iter 2200 || Loss: 0.1085||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2220/2835|| Totel iter 2220 || Loss: 0.0967||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2240/2835|| Totel iter 2240 || Loss: 0.1474||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2260/2835|| Totel iter 2260 || Loss: 0.1246||Batch time: 0.0496 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2280/2835|| Totel iter 2280 || Loss: 0.0909||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2300/2835|| Totel iter 2300 || Loss: 0.1078||Batch time: 0.0496 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2320/2835|| Totel iter 2320 || Loss: 0.0654||Batch time: 0.0501 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2340/2835|| Totel iter 2340 || Loss: 0.1038||Batch time: 0.0539 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2360/2835|| Totel iter 2360 || Loss: 0.1630||Batch time: 0.0499 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2380/2835|| Totel iter 2380 || Loss: 0.1664||Batch time: 0.0529 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2400/2835|| Totel iter 2400 || Loss: 0.1534||Batch time: 0.0500 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2420/2835|| Totel iter 2420 || Loss: 0.1094||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2440/2835|| Totel iter 2440 || Loss: 0.1300||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2460/2835|| Totel iter 2460 || Loss: 0.0994||Batch time: 0.0496 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2480/2835|| Totel iter 2480 || Loss: 0.1115||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2500/2835|| Totel iter 2500 || Loss: 0.1250||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2520/2835|| Totel iter 2520 || Loss: 0.0813||Batch time: 0.0500 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2540/2835|| Totel iter 2540 || Loss: 0.2594||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2560/2835|| Totel iter 2560 || Loss: 0.0981||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2580/2835|| Totel iter 2580 || Loss: 0.0882||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2600/2835|| Totel iter 2600 || Loss: 0.1344||Batch time: 0.0499 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2620/2835|| Totel iter 2620 || Loss: 0.0735||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2640/2835|| Totel iter 2640 || Loss: 0.0860||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2660/2835|| Totel iter 2660 || Loss: 0.1086||Batch time: 0.0499 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2680/2835|| Totel iter 2680 || Loss: 0.1052||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2700/2835|| Totel iter 2700 || Loss: 0.1347||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2720/2835|| Totel iter 2720 || Loss: 0.1349||Batch time: 0.0504 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2740/2835|| Totel iter 2740 || Loss: 0.1847||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2760/2835|| Totel iter 2760 || Loss: 0.1729||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2780/2835|| Totel iter 2780 || Loss: 0.1091||Batch time: 0.0499 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2800/2835|| Totel iter 2800 || Loss: 0.1310||Batch time: 0.0521 sec. ||LR: 0.00010000
Epoch:1 || epochiter: 2820/2835|| Totel iter 2820 || Loss: 0.0965||Batch time: 0.0500 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 5/2835|| Totel iter 2840 || Loss: 0.0911||Batch time: 0.0489 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 25/2835|| Totel iter 2860 || Loss: 0.1012||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 45/2835|| Totel iter 2880 || Loss: 0.1351||Batch time: 0.0499 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 65/2835|| Totel iter 2900 || Loss: 0.0702||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 85/2835|| Totel iter 2920 || Loss: 0.1107||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 105/2835|| Totel iter 2940 || Loss: 0.0968||Batch time: 0.0498 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 125/2835|| Totel iter 2960 || Loss: 0.1578||Batch time: 0.0497 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 145/2835|| Totel iter 2980 || Loss: 0.1579||Batch time: 0.0510 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 165/2835|| Totel iter 3000 || Loss: 0.1686||Batch time: 0.0499 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 185/2835|| Totel iter 3020 || Loss: 0.1080||Batch time: 0.0501 sec. ||LR: 0.00010000
Epoch:2 || epochiter: 205/2835|| Totel iter 3040 || Loss: 0.1004||Batch time: 0.0498 sec. ||LR: 0.00010000
